anio;id;codigo_iccs;tipo;estado_civil;estatus_migratorio;edad;sexo;genero;Nacionalidad;autoidentificacion_etnica;numero_detenciones;nivel_de_instruccion;condicion;movilizacion;tipo_arma;arma;fecha_detencion_aprehension;hora_detencion_aprehension;lugar;tipo_lugar;codigo_distrito;codigo_circuito;codigo_subcircuito;nombre_zona;nombre_subzona;nombre_distrito;nombre_circuito;nombre_subcircuito;codigo_provincia;codigo_canton;codigo_parroquia;nombre_provincia;nombre_canton;nombre_parroquia;presunta_flagrancia;presunta_infraccion;presunta_subinfraccion;presunta_modalidad
2024;3355;90610.02;APREHENDIDO;SOLTERO/A;SIN DATO;23;HOMBRE;MASCULINO;ECUATORIANO;MESTIZO/A;0;SIN DATO;ALIENTO A LICOR;A PIE;NINGUNA;NINGUNA;13-01-24;23:45;ESPACIO PRIVADO;AREA PRIVADA;13D01;13D01C04;13D01C04S01;ZONA 4;MANABI;PORTOVIEJO;EL FLORON;EL FLORON 1;13;1301;130150;MANABI;PORTOVIEJO;PORTOVIEJO;SI;TERRORISMO Y SU FINANCIACION;TERRORISMO;SIN DATO
2024;3356;20112.05;APREHENDIDO;SOLTERO/A;NO APLICA;26;HOMBRE;MASCULINO;ECUATORIANO;MESTIZO/A;0;BACHILLERATO;ALIENTO A LICOR;A PIE;NINGUNA;NINGUNA;1/2/2024;0:35;CASA/VILLA;VIVIENDA/ALOJAMIENTO;07D02;07D02C15;07D02C15S01;ZONA 7;EL ORO;MACHALA;LA FERROVIARIA;LA FERROVIARIA 1;7;701;70150;EL ORO;MACHALA;MACHALA;SI;CONTRAVENCION DE VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NUCLEO FAMILIAR;VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NUCLEO FAMILIAR;SIN DATO
2024;3357;70190.03;APREHENDIDO;SOLTERO/A;IRREGULAR;23;HOMBRE;MASCULINO;VENEZOLANO;MESTIZO/A;0;SIN DATO;NORMAL;A PIE;NINGUNA;NINGUNA;30-01-24;8:00;CASA/VILLA;VIVIENDA/ALOJAMIENTO;09D06;09D06C05;09D06C05S02;ZONA 8;DMG;FLORIDA;FLORIDA;FLORIDA 2;9;901;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;SI;DELITOS CONTRA EL SISTEMA FINANCIERO;CAPTACION ILEGAL DE  DINERO;SIN DATO
2024;3358;80900.02;DETENIDO;SOLTERO/A;REGULAR;30;HOMBRE;MASCULINO;ECUATORIANO;MESTIZO/A;0;EDUCACION INICIAL;NORMAL;A PIE;NINGUNA;NINGUNA;18-01-24;11:00;VIA PUBLICA;AREAS DE ACCESO PUBLICO;23D02;23D02C06;23D02C06S01;ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO OESTE;PLAN DE VIVIENDA;PLAN DE VIVIENDA 1;23;2301;230150;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;SANTO DOMINGO DE LOS COLORADOS;NO;DELITOS CONTRA LA EFICIENCIA DE LA ADMINISTRACION PUBLICA;INCUMPLIMIENTO DE DECISIONES LEGITIMAS DE AUTORIDAD COMPETENTE;SIN DATO
2024;3359;60124.01;APREHENDIDO;SOLTERO/A;NO APLICA;25;HOMBRE;MASCULINO;ECUATORIANO;MESTIZO/A;0;NO APLICA;NORMAL;A PIE;NINGUNA;NINGUNA;1/5/2024;12:30;VIA PUBLICA;AREAS DE ACCESO PUBLICO;16D01;16D01C04;16D01C04S01;ZONA 3;PASTAZA;PASTAZA;SARAYACU;SARAYACU 1;16;1601;160161;PASTAZA;PASTAZA;SARAYACU;SI;DELITOS POR LA PRODUCCION O TRAFICO ILICITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACION;TRAFICO ILICITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACION;SIN DATO
2024;3360;60124.01;APREHENDIDO;SOLTERO/A;NO APLICA;25;HOMBRE;MASCULINO;ECUATORIANO;MESTIZO/A;0;EDUCACION GENERAL BASICA;NORMAL;A PIE;NINGUNA;NINGUNA;1/12/2024;16:40;CASA/VILLA;VIVIENDA/ALOJAMIENTO;09D08;09D08C02;09D08C02S04;ZONA 8;DMG;NUEVA PROSPERINA;FORTIN;FORTIN 4;9;901;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;SI;DELITOS POR LA PRODUCCION O TRAFICO ILICITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACION;TRAFICO ILICITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACION;SIN DATO
2024;3361;110900.06;APREHENDIDO;SOLTERO/A;NO APLICA;26;HOMBRE;MASCULINO;ECUATORIANO;MESTIZO/A;0;NO APLICA;ALIENTO A LICOR;A PIE;ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE);OTRO;29-01-24;21:10;VIA PUBLICA;AREAS DE ACCESO PUBLICO;01D07;01D07C02;01D07C02S01;ZONA 6;AZUAY;PONCE ENRIQUEZ;CAMILO PONCE ENRIQUEZ;CAMILO PONCE ENRIQUEZ 1;1;115;11550;AZUAY;CAMILO PONCE ENRIQUEZ;CAMILO PONCE ENRIQUEZ;SI;CONTRAVENCIONES;CONTRAVENCIONES DE CUARTA CLASE;LA PERSONA QUE VOLUNTARIAMENTE HIERA O GOLPEE A OTRO, CAUSANDOLE LESIONES O INCAPACIDAD PARA EL TRABAJO, QUE NO EXCEDAN DE TRES DIAS.
2024;3362;90610.02;APREHENDIDO;SOLTERO/A;NO APLICA;18;HOMBRE;MASCULINO;ECUATORIANO;MESTIZO/A;0;BACHILLERATO;NORMAL;AUTOMOVIL;ARMAS DE FUEGO;REVOLVER;1/9/2024;17:00;MEDIO DE COMUNICACION;LUGARES QUE PRESTAN SERVICIOS;09D05;09D05C01;09D05C01S05;ZONA 8;DMG;MODELO;ATARAZANA;ATARAZANA 5;9;901;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;SI;TERRORISMO Y SU FINANCIACION;TERRORISMO;SIN DATO
2024;3363;60124.01;APREHENDIDO;SOLTERO/A;SIN DATO;22;HOMBRE;MASCULINO;ECUATORIANO;AFROECUATORIANO/A  AFRODESCENDIENTE;0;SIN DATO;NORMAL;A PIE;NINGUNA;NINGUNA;1/10/2024;23:00;VIA PUBLICA;AREAS DE ACCESO PUBLICO;07D02;07D02C18;07D02C18S01;ZONA 7;EL ORO;MACHALA;WILSON FRANCO;WILSON FRANCO 1;7;701;70150;EL ORO;MACHALA;MACHALA;SI;DELITOS POR LA PRODUCCION O TRAFICO ILICITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACION;TRAFICO ILICITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACION;SIN DATO
2024;3364;10102.01;APREHENDIDO;SOLTERO/A;SIN DATO;28;HOMBRE;MASCULINO;ECUATORIANO;MESTIZO/A;0;SIN DATO;NORMAL;SIN DATO;NINGUNA;NINGUNA;1/1/2024;22:05;VIA PUBLICA;AREAS DE ACCESO PUBLICO;09D24;09D24C05;09D24C05S04;ZONA 8;DMG;DURAN;RECREO;RECREO 4;9;907;90750;GUAYAS;DURAN;ELOY ALFARO (DURAN);SI;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ASESINATO;SIN DATO
